date,tweet
2020-08-20 11:05:58,"Follow @bbcdoctors' very own @moylie69 as she goes back to set for the first time in *five months*  👀

📺 Doctors wi… https://t.co/gEIGjoP5mg"
2020-08-19 16:01:00,"Famalam. Series three. This Sunday. @bbcthree.
https://t.co/RxYVXYAXDi"
2020-08-18 12:01:00,"As places of worship re-open with restrictions on rituals, have our connections to places of worship changed foreve… https://t.co/756LUwTXfV"
2020-08-17 16:01:00,"Cormoran Strike is BACK!
 
#Strike: #LethalWhite starts Sunday 30 August on @BBCOne and @BBCiPlayer. https://t.co/MUvltUQwRu"
2020-08-16 19:46:50,RT @bbcthree: When they offer you an ice cream https://t.co/0Wr0jVP9ju
2020-08-16 13:01:00,The metaphors that shape our world (without us even realising it) https://t.co/Q73nz9KBLa
2020-08-15 21:30:00,"#GuardiansOfTheGalaxy is on @bbcone &amp; @bbciplayer at 10:20pm!  💥

Starring @prattprattpratt and @zoesaldana. ✨

👉… https://t.co/cgYcYCSjJx"
2020-08-15 21:01:00,"The words of the Kohima Epitaph are beautifully projected onto Horse Guards, accompanied by an orchestral performan… https://t.co/JUIrfCPc6u"
2020-08-15 19:50:00,"""Your bravery, and the sacrifices you made, will never be forgotten""

The Duke of Cambridge pays tribute to all of… https://t.co/G6e08MmPIF"
2020-08-15 19:50:00,"""Your bravery, and the sacrifices you made, will never be forgotten""

The Duke of Cambridge pays tribute to all of… https://t.co/G6e08MmPIF"
2020-08-15 17:48:07,"RT @BBCBreakfast: Both are veterans from the war in Japan, they are both 100 years old.
Sir Captain Tom Moore and Peter Heppell meet for th…"
2020-08-15 08:01:00,#VJDay75 will be commemorated in two special ceremonies today: The Nation Remembers at 9:30am and The Nation's Trib… https://t.co/ARqsKCsSMx
2020-08-14 16:47:10,"RT @BBCTheOneShow: 🚨 You do not want to miss this! 🚨

@samfendermusic has given us exclusive access to some of the first socially distanced…"
2020-08-14 12:01:00,".@mescal_paul and Alex and Chris from #TheYoungOffenders are all mates irl.

@bbcthree
https://t.co/H6ZecLodN0"
2020-08-14 11:22:55,"RT @BBC6Music: 14th August 1995
Blur v Oasis

Re-evaluate both records in the #6MusicAlbum club on @BBCSounds.

Here's the @BBCNews report…"
2020-08-13 19:01:00,"#Mandy by @missdianemorgan is returning for a full series!  🙌

9:30pm | @bbctwo &amp; @BBCiPlayer.

👉… https://t.co/EcSx3mmmu6"
2020-08-13 08:32:03,"RT @bbcasiannetwork: As places of worship re-open with restrictions on rituals, have our connections to places of worship changed forever?…"
2020-08-12 13:12:36,"Listen to more powerful, personal stories about mental health right here: https://t.co/w5pBZxiXdp"
2020-08-12 13:00:01,"Overwhelmed by events, from Covid to Black Lives Matter? Here’s how to take care of you.

In partnership with… https://t.co/lwx46vmxbO"
2020-08-12 11:01:00,"We Are Who We Are is the first ever TV series from Luca Guadagnino, director and producer of Call Me By Your Name.… https://t.co/W3itwZ28JP"
2020-08-11 13:01:00,"""Loneliness doesn't have a type.""

@erinmaykelly @bbcthesocial 

https://t.co/XnfmffDR3W"
2020-08-11 11:01:00,"""We still can't believe it happened""

Scuba dive instructor films ""super rare"" encounter with juvenile humpback wha… https://t.co/xjXIHODHQb"
